ORIG_CD;DEST_CD;MILES;O&D
CNS;HTI;319;CNS-HTI
HBE;TOB;348;HBE-TOB
BRI;SXF;791;BRI-SXF
AEB;CSX;6404;AEB-CSX
PUY;FRA;434;PUY-FRA
TYS;DCA;436;TYS-DCA
NTE;AJA;626;NTE-AJA
FNT;LAN;45;FNT-LAN
DPS;BKK;1848;DPS-BKK
TXL;CDG;529;TXL-CDG
EIS;PLS;552;EIS-PLS
BER;HAN;5171;BER-HAN
HKT;CGK;1137;HKT-CGK
BER;DUS;296;BER-DUS
OMS;SGC;429;OMS-SGC
YLW;YMM;572;YLW-YMM
FAO;DUB;1137;FAO-DUB
SGF;IFP;1189;SGF-IFP
KIN;LIM;2059;KIN-LIM
TJL;PPB;100;TJL-PPB
POS;BSB;2038;POS-BSB
NVT;NAT;1701;NVT-NAT
LHR;MNL;6699;LHR-MNL
YEI;ERZ;615;YEI-ERZ
SXF;CPH;235;SXF-CPH
TAB;BGI;163;TAB-BGI
VCE;PRN;477;VCE-PRN
PVG;HKG;767;PVG-HKG
CAU;TFF;2005;CAU-TFF
HDY;DMK;482;HDY-DMK
GUW;SCO;228;GUW-SCO
HTI;CNS;319;HTI-CNS
TOB;HBE;348;TOB-HBE
CPV;VVI;1969;CPV-VVI
CSX;AEB;6404;CSX-AEB
TNG;OUD;235;TNG-OUD
BOM;RUH;1723;BOM-RUH
DTW;GRU;5107;DTW-GRU
LAN;FNT;45;LAN-FNT
MLH;QSF;793;MLH-QSF
FOC;KMG;1046;FOC-KMG
BSB;MID;3799;BSB-MID
STM;UMU;1480;STM-UMU
MCO;PFB;4342;MCO-PFB
DUS;BER;296;DUS-BER
SGC;OMS;429;SGC-OMS
YMM;YLW;572;YMM-YLW
BVH;POA;1325;BVH-POA
SVG;VNO;796;SVG-VNO
LIM;KIN;2059;LIM-KIN
DEN;LIH;3415;DEN-LIH
BHY;CGO;936;BHY-CGO
HAM;PAD;151;HAM-PAD
MNL;LHR;6699;MNL-LHR
ORY;UBA;5654;ORY-UBA
KTM;LXA;375;KTM-LXA
DXB;KIH;123;DXB-KIH
SHV;CTG;1913;SHV-CTG
PHB;UMU;1639;PHB-UMU
TFF;CAU;2005;TFF-CAU
OSL;RJK;1045;OSL-RJK
SCO;GUW;228;SCO-GUW
PUJ;STL;1918;PUJ-STL
DLC;KWE;1234;DLC-KWE
VVI;CPV;1969;VVI-CPV
OSR;TLV;1496;OSR-TLV
MAR;SJU;664;MAR-SJU
RUH;BOM;1723;RUH-BOM
GRU;DTW;5107;GRU-DTW
CDG;SID;2648;CDG-SID
QSF;MLH;793;QSF-MLH
KMG;FOC;1046;KMG-FOC
MQT;ORD;315;MQT-ORD
UMU;STM;1480;UMU-STM
PFB;MCO;4342;PFB-MCO
KEH;LKE;0;KEH-LKE
DME;GOT;986;DME-GOT
CGB;SCL;1527;CGB-SCL
POA;BVH;1325;POA-BVH
VNO;SVG;796;VNO-SVG
CGB;MCZ;1434;CGB-MCZ
LIH;DEN;3415;LIH-DEN
CGO;BHY;936;CGO-BHY
PAD;HAM;151;PAD-HAM
CUR;TPA;1397;CUR-TPA
UBA;ORY;5654;UBA-ORY
LXA;KTM;375;LXA-KTM
KIH;DXB;123;KIH-DXB
ABV;QUO;290;ABV-QUO
UMU;PHB;1639;UMU-PHB
PLS;YOW;1638;PLS-YOW
RJK;OSL;1045;RJK-OSL
HFE;MFM;702;HFE-MFM
STL;PUJ;1918;STL-PUJ
KWE;DLC;1234;KWE-DLC
MDZ;SXM;3519;MDZ-SXM
TLV;OSR;1496;TLV-OSR
SJU;MAR;664;SJU-MAR
BOD;BRS;462;BOD-BRS
MDW;PHL;666;MDW-PHL
SID;CDG;2648;SID-CDG
BRI;PMI;747;BRI-PMI
MGA;PTY;508;MGA-PTY
ORD;MQT;315;ORD-MQT
SHJ;SYZ;342;SHJ-SYZ
DYG;PVG;697;DYG-PVG
LKE;KEH;9;LKE-KEH
GOT;DME;986;GOT-DME
SCL;CGB;1527;SCL-CGB
BYO;VIX;1046;BYO-VIX
CGR;SMT;556;CGR-SMT
MCZ;CGB;1434;MCZ-CGB
CPV;PET;1994;CPV-PET
AMS;TBS;2000;AMS-TBS
MAD;TSR;1301;MAD-TSR
TPA;CUR;1397;TPA-CUR
HHZ;MKP;96;HHZ-MKP
BOG;UIB;184;BOG-UIB
SLC;YYZ;1654;SLC-YYZ
QUO;ABV;0;QUO-ABV
CDG;LOS;2931;CDG-LOS
YOW;PLS;1638;YOW-PLS
CSX;YIW;438;CSX-YIW
MFM;HFE;702;MFM-HFE
CGY;ILO;211;CGY-ILO
HNL;PVG;4917;HNL-PVG
BRU;LXR;2292;BRU-LXR
POA;STL;5362;POA-STL
BRE;IST;1262;BRE-IST
BRS;BOD;462;BRS-BOD
PHL;MDW;666;PHL-MDW
BNN;OSL;377;BNN-OSL
PMI;BRI;747;PMI-BRI
PTY;MGA;508;PTY-MGA
QBC;YAA;55;QBC-YAA
SYZ;SHJ;342;SYZ-SHJ
PVG;DYG;697;PVG-DYG
IMP;LEC;639;IMP-LEC
EIN;VNO;852;EIN-VNO
ADQ;KPR;51;ADQ-KPR
VIX;BYO;1046;VIX-BYO
SMT;CGR;556;SMT-CGR
ASU;PDX;6357;ASU-PDX
PET;CPV;1994;PET-CPV
TBS;AMS;2000;TBS-AMS
TSR;MAD;1301;TSR-MAD
JPA;OPO;3735;JPA-OPO
MKP;HHZ;96;MKP-HHZ
UIB;BOG;184;UIB-BOG
YYZ;SLC;1654;YYZ-SLC
MTY;FLL;1242;MTY-FLL
LOS;CDG;2931;LOS-CDG
BRC;SSA;2778;BRC-SSA
YIW;CSX;438;YIW-CSX
GVR;PET;1095;GVR-PET
ILO;CGY;211;ILO-CGY
PVG;HNL;4917;PVG-HNL
LXR;BRU;2292;LXR-BRU
STL;POA;5362;STL-POA
IST;BRE;1262;IST-BRE
AGA;SXF;1914;AGA-SXF
BFI;FRD;76;BFI-FRD
OSL;BNN;377;OSL-BNN
RIX;VOZ;708;RIX-VOZ
KBR;KCH;642;KBR-KCH
YAA;QBC;55;YAA-QBC
PTY;TIJ;2894;PTY-TIJ
LGB;ORD;1735;LGB-ORD
LEC;IMP;639;LEC-IMP
VNO;EIN;852;VNO-EIN
KPR;ADQ;51;KPR-ADQ
FIH;MJM;572;FIH-MJM
FUG;HAK;949;FUG-HAK
PDX;ASU;6357;PDX-ASU
DLM;LTN;1722;DLM-LTN
EIN;PRG;400;EIN-PRG
BIK;SUB;1663;BIK-SUB
OPO;JPA;3735;OPO-JPA
CLV;CNF;331;CLV-CNF
MJT;SMI;96;MJT-SMI
OAL;UMU;1004;OAL-UMU
EZE;LIS;5995;EZE-LIS
NAO;PEK;874;NAO-PEK
SSA;BRC;2778;SSA-BRC
AGP;STR;1080;AGP-STR
PET;GVR;1095;PET-GVR
VDS;HFT;150;VDS-HFT
BRU;KEF;1334;BRU-KEF
BRU;SPC;1920;BRU-SPC
DEL;VNS;415;DEL-VNS
DIQ;LAJ;626;DIQ-LAJ
SXF;AGA;1914;SXF-AGA
FRD;BFI;76;FRD-BFI
DOU;VCP;500;DOU-VCP
VOZ;RIX;708;VOZ-RIX
KCH;KBR;642;KCH-KBR
MDC;UPG;587;MDC-UPG
TIJ;PTY;2894;TIJ-PTY
ORD;LGB;1735;ORD-LGB
AMS;BOG;5494;AMS-BOG
SHA;YIC;4641;SHA-YIC
FRA;HOG;4902;FRA-HOG
MJM;FIH;572;MJM-FIH
HAK;FUG;949;HAK-FUG
NAT;JFK;4029;NAT-JFK
LTN;DLM;1722;LTN-DLM
PRG;EIN;400;PRG-EIN
SUB;BIK;1663;SUB-BIK
KUL;RGN;1019;KUL-RGN
CNF;CLV;331;CNF-CLV
SMI;MJT;96;SMI-MJT
UMU;OAL;1004;UMU-OAL
LIS;EZE;5995;LIS-EZE
PEK;NAO;0;PEK-NAO
DOK;SIP;275;DOK-SIP
STR;AGP;1080;STR-AGP
PSP;SFO;448;PSP-SFO
MSP;PDX;1422;MSP-PDX
KEF;BRU;1334;KEF-BRU
SPC;BRU;1920;SPC-BRU
VNS;DEL;415;VNS-DEL
LAJ;DIQ;626;LAJ-DIQ
BEL;JPA;1013;BEL-JPA
BYO;POJ;671;BYO-POJ
VCP;DOU;500;VCP-DOU
CGO;XNN;677;CGO-XNN
ECP;STL;634;ECP-STL
UPG;MDC;587;UPG-MDC
ORD;YKF;390;ORD-YKF
ADD;ORD;7578;ADD-ORD
BOG;AMS;5494;BOG-AMS
YIC;SHA;4641;YIC-SHA
HOG;FRA;4902;HOG-FRA
MFM;XMN;326;MFM-XMN
LGA;SMF;2514;LGA-SMF
MAO;PMW;945;MAO-PMW
MCO;TOW;4085;MCO-TOW
MVF;ROO;1417;MVF-ROO
DEL;NDC;646;DEL-NDC
RGN;KUL;1019;RGN-KUL
SSH;STR;1960;SSH-STR
CVG;RSW;881;CVG-RSW
SUY;YKS;3488;SUY-YKS
DAM;SVO;1559;DAM-SVO
BET;KKH;76;BET-KKH
SIP;DOK;275;SIP-DOK
CTS;HKD;90;CTS-HKD
SFO;PSP;448;SFO-PSP
PDX;MSP;1422;PDX-MSP
KDH;OAI;309;KDH-OAI
EZE;MEA;1330;EZE-MEA
BCN;BLQ;516;BCN-BLQ
MDE;RDU;2056;MDE-RDU
JPA;BEL;1013;JPA-BEL
POJ;BYO;671;POJ-BYO
DKR;LOS;1521;DKR-LOS
XNN;CGO;677;XNN-CGO
STL;ECP;634;STL-ECP
ORY;PDL;1594;ORY-PDL
YKF;ORD;390;YKF-ORD
ORD;ADD;7578;ORD-ADD
GSM;MHD;672;GSM-MHD
BCN;CDG;533;BCN-CDG
CPV;JJD;430;CPV-JJD
XMN;MFM;326;XMN-MFM
SMF;LGA;2514;SMF-LGA
PMW;MAO;945;PMW-MAO
TOW;MCO;4085;TOW-MCO
ROO;MVF;1417;ROO-MVF
NDC;DEL;646;NDC-DEL
DUS;MUC;301;DUS-MUC
GDL;PVR;126;GDL-PVR
RSW;CVG;881;RSW-CVG
YKS;SUY;3488;YKS-SUY
SVO;DAM;1559;SVO-DAM
KKH;BET;76;KKH-BET
CNS;HID;567;CNS-HID
HKD;CTS;90;HKD-CTS
CUR;DUS;4946;CUR-DUS
AYT;RLG;1471;AYT-RLG
OAI;KDH;309;OAI-KDH
MEA;EZE;1330;MEA-EZE
BLQ;BCN;516;BLQ-BCN
RDU;MDE;2056;RDU-MDE
DOH;VIE;2464;DOH-VIE
IAH;MCO;853;IAH-MCO
LOS;DKR;1521;LOS-DKR
HEL;KOK;242;HEL-KOK
IBZ;VIT;350;IBZ-VIT
PDL;ORY;1594;PDL-ORY
BGX;IGU;427;BGX-IGU
SHE;XUZ;613;SHE-XUZ
MHD;GSM;672;MHD-GSM
CDG;BCN;533;CDG-BCN
JJD;CPV;430;JJD-CPV
BIO;SCQ;279;BIO-SCQ
ULN;HTM;348;ULN-HTM
PVR;TIJ;1092;PVR-TIJ
BOG;CLO;179;BOG-CLO
DXB;MRU;3149;DXB-MRU
MUC;DUS;301;MUC-DUS
PVR;GDL;126;PVR-GDL
SID;BCN;2254;SID-BCN
CGR;PVH;1019;CGR-PVH
FRA;MAA;4716;FRA-MAA
PHL;SCE;152;PHL-SCE
HID;CNS;567;HID-CNS
MAO;YUL;3444;MAO-YUL
DUS;CUR;4946;DUS-CUR
RLG;AYT;1471;RLG-AYT
SYQ;TTQ;60;SYQ-TTQ
MDE;STL;2430;MDE-STL
CGH;TBT;2049;CGH-TBT
TNK;WWT;32;TNK-WWT
VIE;DOH;2464;VIE-DOH
MCO;IAH;853;MCO-IAH
CAU;CPV;70;CAU-CPV
KOK;HEL;242;KOK-HEL
VIT;IBZ;350;VIT-IBZ
ORK;RNS;398;ORK-RNS
IGU;BGX;427;IGU-BGX
XUZ;SHE;613;XUZ-SHE
CLE;PVD;540;CLE-PVD
BRA;SJK;772;BRA-SJK
BOS;PHX;2300;BOS-PHX
SCQ;BIO;279;SCQ-BIO
GVR;XAP;885;GVR-XAP
TIJ;PVR;1092;TIJ-PVR
CLO;BOG;179;CLO-BOG
MRU;DXB;3149;MRU-DXB
RHO;SVX;2063;RHO-SVX
CLV;SDU;503;CLV-SDU
AMM;FRA;1890;AMM-FRA
PVH;CGR;1019;PVH-CGR
MAA;FRA;4716;MAA-FRA
SCE;PHL;152;SCE-PHL
IQT;PUJ;1573;IQT-PUJ
YUL;MAO;3444;YUL-MAO
SXM;VVI;2453;SXM-VVI
JFK;STL;889;JFK-STL
TTQ;SYQ;60;TTQ-SYQ
STL;MDE;2430;STL-MDE
TBT;CGH;2049;TBT-CGH
WWT;TNK;32;WWT-TNK
LEC;VVI;1500;LEC-VVI
EWR;FCO;4292;EWR-FCO
CPV;CAU;70;CPV-CAU
MAR;VSA;1503;MAR-VSA
ATL;SAV;214;ATL-SAV
RNS;ORK;398;RNS-ORK
EWR;JNB;7989;EWR-JNB
IFN;JED;1090;IFN-JED
PVD;CLE;540;PVD-CLE
SJK;BRA;772;SJK-BRA
PHX;BOS;2300;PHX-BOS
KRL;URC;163;KRL-URC
XAP;GVR;885;XAP-GVR
CPH;PMI;1200;CPH-PMI
MAO;MEM;3261;MAO-MEM
TSN;XMN;629;TSN-XMN
SVX;RHO;0;SVX-RHO
SDU;CLV;503;SDU-CLV
FRA;AMM;1890;FRA-AMM
FEC;TOW;1295;FEC-TOW
BVH;VAL;1421;BVH-VAL
GEL;GYN;864;GEL-GYN
RNO;SAP;2539;RNO-SAP
ADD;BJR;207;ADD-BJR
VVI;SXM;2453;VVI-SXM
STL;JFK;889;STL-JFK
DBV;TRD;1472;DBV-TRD
YSM;YZF;188;YSM-YZF
AMS;MST;105;AMS-MST
MEX;PDX;2249;MEX-PDX
VVI;LEC;1500;VVI-LEC
FCO;EWR;4292;FCO-EWR
BSA;DXB;1045;BSA-DXB
VSA;MAR;1503;VSA-MAR
SAV;ATL;214;SAV-ATL
MAB;MOC;862;MAB-MOC
JNB;EWR;7989;JNB-EWR
JED;IFN;1090;JED-IFN
ALA;CAI;2648;ALA-CAI
ESR;SCL;492;ESR-SCL
CAU;CNF;949;CAU-CNF
URC;KRL;163;URC-KRL
HOT;MEM;181;HOT-MEM
PMI;CPH;1200;PMI-CPH
SCQ;TFN;1088;SCQ-TFN
XMN;TSN;1014;XMN-TSN
BVB;RVD;1538;BVB-RVD
NUS;SON;41;NUS-SON
CEK;OSS;1139;CEK-OSS
TOW;FEC;1295;TOW-FEC
VAL;BVH;1421;VAL-BVH
GYN;GEL;864;GYN-GEL
JDO;UBA;1045;JDO-UBA
BJR;ADD;207;BJR-ADD
YWG;YYQ;623;YWG-YYQ
FRA;GUW;1965;FRA-GUW
TRD;DBV;1472;TRD-DBV
YZF;YSM;188;YZF-YSM
MST;AMS;105;MST-AMS
PDX;MEX;2249;PDX-MEX
CLE;VVI;4236;CLE-VVI
ARN;KRN;593;ARN-KRN
DXB;BSA;1045;DXB-BSA
CAW;MEA;53;CAW-MEA
DUS;DXB;3115;DUS-DXB
MOC;MAB;862;MOC-MAB
BOS;MEX;2277;BOS-MEX
IND;MSP;502;IND-MSP
CAI;ALA;2648;CAI-ALA
SCL;ESR;492;SCL-ESR
CNF;CAU;949;CNF-CAU
MEL;NRT;5060;MEL-NRT
MEM;HOT;181;MEM-HOT
CSX;CZX;487;CSX-CZX
TFN;SCQ;1088;TFN-SCQ
AJI;ESB;533;AJI-ESB
RVD;BVB;1538;RVD-BVB
SON;NUS;41;SON-NUS
OSS;CEK;1139;OSS-CEK
AER;CSY;933;AER-CSY
KGS;LBA;1809;KGS-LBA
NAP;NTE;900;NAP-NTE
UBA;JDO;1045;UBA-JDO
BOS;IAH;1597;BOS-IAH
YYQ;YWG;623;YYQ-YWG
GUW;FRA;1965;GUW-FRA
MEM;PIT;651;MEM-PIT
CSX;XUZ;496;CSX-XUZ
JMK;LTN;1595;JMK-LTN
BTK;IKT;304;BTK-IKT
VVI;CLE;4236;VVI-CLE
KRN;ARN;593;KRN-ARN
PEI;SCL;2648;PEI-SCL
MEA;CAW;53;MEA-CAW
DXB;DUS;3115;DXB-DUS
IAD;SJC;2400;IAD-SJC
MEX;BOS;2277;MEX-BOS
MSP;IND;502;MSP-IND
DAD;HAN;377;DAD-HAN
BCN;DUS;724;BCN-DUS
KIN;CLT;1217;KIN-CLT
NRT;MEL;5060;NRT-MEL
BMI;DTW;312;BMI-DTW
CZX;CSX;487;CZX-CSX
CLV;REC;1134;CLV-REC
ESB;AJI;533;ESB-AJI
PUJ;PVR;2404;PUJ-PVR
BSB;CFB;618;BSB-CFB
SFO;SYD;7421;SFO-SYD
CSY;AER;933;CSY-AER
LBA;KGS;1809;LBA-KGS
NTE;NAP;900;NTE-NAP
SZG;TXL;329;SZG-TXL
IAH;BOS;1597;IAH-BOS
PMG;PTO;318;PMG-PTO
DNH;SZX;1699;DNH-SZX
PIT;MEM;651;PIT-MEM
XUZ;CSX;496;XUZ-CSX
LTN;JMK;1595;LTN-JMK
IKT;BTK;304;IKT-BTK
CAG;FCO;244;CAG-FCO
ACE;LBA;1824;ACE-LBA
SCL;PEI;2648;SCL-PEI
BMI;DEN;834;BMI-DEN
CLE;MDE;2459;CLE-MDE
SJC;IAD;2400;SJC-IAD
BAQ;MCI;2309;BAQ-MCI
STT;PTY;1159;STT-PTY
HAN;DAD;377;HAN-DAD
DUS;BCN;724;DUS-BCN
ADD;KAN;2069;ADD-KAN
BGX;FOR;2186;BGX-FOR
DTW;BMI;312;DTW-BMI
FLN;NAT;1743;FLN-NAT
REC;CLV;1134;REC-CLV
NLD;PTY;1827;NLD-PTY
PVR;PUJ;2404;PVR-PUJ
CFB;BSB;618;CFB-BSB
SYD;SFO;7421;SYD-SFO
LAS;MCE;309;LAS-MCE
JJD;LIS;3510;JJD-LIS
GUA;MAO;2415;GUA-MAO
TXL;SZG;329;TXL-SZG
PTO;PMG;318;PTO-PMG
SZX;DNH;1699;SZX-DNH
ARU;UBA;186;ARU-UBA
RDU;TTN;373;RDU-TTN
AMS;CMN;1445;AMS-CMN
BGA;CUC;72;BGA-CUC
FCO;CAG;244;FCO-CAG
LBA;ACE;1824;LBA-ACE
ARN;DOH;2867;ARN-DOH
DEN;BMI;834;DEN-BMI
MDE;CLE;2459;MDE-CLE
BUD;FCO;519;BUD-FCO
MCI;BAQ;2309;MCI-BAQ
HAM;TLS;794;HAM-TLS
AAQ;NYM;1941;AAQ-NYM
CKG;CTU;172;CKG-CTU
KAN;ADD;2069;KAN-ADD
FOR;BGX;2186;FOR-BGX
MNL;SIN;1477;MNL-SIN
NAT;FLN;1743;NAT-FLN
DAV;SJU;1303;DAV-SJU
JOI;MGF;277;JOI-MGF
BPG;MAO;1028;BPG-MAO
BPG;JPR;723;BPG-JPR
COR;VSA;3888;COR-VSA
MCE;LAS;309;MCE-LAS
LIS;JJD;3510;LIS-JJD
MAO;GUA;2415;MAO-GUA
SCL;VCP;1605;SCL-VCP
BJV;LYS;1304;BJV-LYS
ABJ;ADD;2942;ABJ-ADD
UBA;ARU;186;UBA-ARU
TTN;RDU;373;TTN-RDU
CMN;AMS;1445;CMN-AMS
CUC;BGA;72;CUC-BGA
DOH;MIA;7678;DOH-MIA
NTL;SYD;87;NTL-SYD
DOH;ARN;2867;DOH-ARN
BLR;CCJ;185;BLR-CCJ
HOG;MVD;4051;HOG-MVD
FCO;BUD;519;FCO-BUD
DOH;IXE;1738;DOH-IXE
TLS;HAM;794;TLS-HAM
NYM;AAQ;1941;NYM-AAQ
CTU;CKG;172;CTU-CKG
MKP;RRR;86;MKP-RRR
EZE;SAL;3877;EZE-SAL
SIN;MNL;1477;SIN-MNL
BLQ;RMF;1846;BLQ-RMF
SJU;DAV;1303;SJU-DAV
MGF;JOI;277;MGF-JOI
MAO;BPG;1028;MAO-BPG
JPR;BPG;723;JPR-BPG
VSA;COR;3888;VSA-COR
SJK;URG;825;SJK-URG
BJV;GLA;1964;BJV-GLA
VCP;SCL;1605;VCP-SCL
LYS;BJV;1304;LYS-BJV
ADD;ABJ;2942;ADD-ABJ
DYU;SHJ;1197;DYU-SHJ
YFC;YYZ;658;YFC-YYZ
MAO;MGF;1511;MAO-MGF
MIA;DOH;7678;MIA-DOH
SYD;NTL;87;SYD-NTL
FRL;TIA;433;FRL-TIA
CCJ;BLR;185;CCJ-BLR
MVD;HOG;4051;MVD-HOG
ORD;YQB;880;ORD-YQB
IXE;DOH;1738;IXE-DOH
BUD;HRG;1606;BUD-HRG
BRN;CTA;758;BRN-CTA
CLO;TGU;1035;CLO-TGU
RRR;MKP;86;RRR-MKP
SAL;EZE;3877;SAL-EZE
CGQ;HLD;455;CGQ-HLD
RMF;BLQ;1846;RMF-BLQ
MGA;TPA;1115;MGA-TPA
GSE;WMI;505;GSE-WMI
BJX;SDQ;2077;BJX-SDQ
ATM;NVT;1650;ATM-NVT
CEN;SJO;2054;CEN-SJO
URG;SJK;825;URG-SJK
GLA;BJV;1964;GLA-BJV
CXJ;REC;1799;CXJ-REC
YTS;YTZ;353;YTS-YTZ
MDE;SXM;1166;MDE-SXM
SHJ;DYU;1197;SHJ-DYU
YYZ;YFC;658;YYZ-YFC
MGF;MAO;1511;MGF-MAO
SFO;SIN;8444;SFO-SIN
GVA;SKP;816;GVA-SKP
TIA;FRL;433;TIA-FRL
CCS;LIR;1262;CCS-LIR
BOI;GEG;287;BOI-GEG
YQB;ORD;880;YQB-ORD
CDG;CMN;1200;CDG-CMN
HRG;BUD;1606;HRG-BUD
CTA;BRN;758;CTA-BRN
TGU;CLO;1035;TGU-CLO
BOI;ORD;1437;BOI-ORD
JOI;MII;287;JOI-MII
HLD;CGQ;455;HLD-CGQ
LST;MEL;297;LST-MEL
TPA;MGA;1115;TPA-MGA
WMI;GSE;505;WMI-GSE
SDQ;BJX;2077;SDQ-BJX
NVT;ATM;1650;NVT-ATM
DOH;ISB;1414;DOH-ISB
FKS;NGO;261;FKS-NGO
NSK;UFA;1418;NSK-UFA
REC;CXJ;1799;REC-CXJ
YTZ;YTS;353;YTZ-YTS
SXM;MDE;1166;SXM-MDE
ALY;SSH;349;ALY-SSH
HUH;PPT;111;HUH-PPT
KQT;FRU;4993;KQT-FRU
SIN;SFO;8444;SIN-SFO
SKP;GVA;816;SKP-GVA
DTW;PDX;1947;DTW-PDX
LIR;CCS;1262;LIR-CCS
GEG;BOI;287;GEG-BOI
CTA;MAN;1376;CTA-MAN
CMN;CDG;1200;CMN-CDG
TOB;TUN;853;TOB-TUN
DFW;JAC;1045;DFW-JAC
JFK;LAX;2475;JFK-LAX
ORD;BOI;1437;ORD-BOI
MII;JOI;287;MII-JOI
CLO;ESM;286;CLO-ESM
MEL;LST;297;MEL-LST
BAH;NBO;2106;BAH-NBO
CNF;PEI;2738;CNF-PEI
BVH;CKS;824;BVH-CKS
MCP;TXF;1436;MCP-TXF
ISB;DOH;1414;ISB-DOH
NGO;FKS;261;NGO-FKS
UFA;NSK;1418;UFA-NSK
DUS;LNZ;393;DUS-LNZ
SBP;SFO;191;SBP-SFO
KBP;OTP;457;KBP-OTP
SSH;ALY;349;SSH-ALY
PPT;HUH;111;PPT-HUH
CDG;DZA;4990;CDG-DZA
CTU;YNT;1092;CTU-YNT
ALA;KSN;917;ALA-KSN
PDX;DTW;1947;PDX-DTW
FLN;NVT;55;FLN-NVT
FOR;THE;310;FOR-THE
MAN;CTA;1376;MAN-CTA
DUS;MBA;4274;DUS-MBA
TUN;TOB;853;TUN-TOB
JAC;DFW;1045;JAC-DFW
LAX;JFK;2475;LAX-JFK
BWI;EWR;169;BWI-EWR
MSO;PDX;418;MSO-PDX
ESM;CLO;286;ESM-CLO
YVR;YZT;213;YVR-YZT
NBO;BAH;2106;NBO-BAH
PEI;CNF;2738;PEI-CNF
CKS;BVH;824;CKS-BVH
TXF;MCP;1436;TXF-MCP
JJG;TXF;974;JJG-TXF
KWL;LJG;618;KWL-LJG
MYY;TGG;754;MYY-TGG
LNZ;DUS;393;LNZ-DUS
SFO;SBP;191;SFO-SBP
OTP;KBP;457;OTP-KBP
KWI;LRR;403;KWI-LRR
ATH;OSL;1639;ATH-OSL
PAV;PGZ;1341;PAV-PGZ
YNT;CTU;1092;YNT-CTU
KSN;ALA;917;KSN-ALA
HAD;JKG;87;HAD-JKG
NVT;FLN;55;NVT-FLN
THE;FOR;310;THE-FOR
OSL;RRS;165;OSL-RRS
MBA;DUS;4274;MBA-DUS
GIG;LAX;6294;GIG-LAX
HEH;KET;188;HEH-KET
ATH;TIA;323;ATH-TIA
EWR;BWI;169;EWR-BWI
PDX;MSO;418;PDX-MSO
GRU;YUL;5043;GRU-YUL
YZT;YVR;213;YZT-YVR
QRO;TIJ;1313;QRO-TIJ
EWR;IAH;1400;EWR-IAH
GOJ;VAR;1142;GOJ-VAR
GVA;NTE;371;GVA-NTE
TXF;JJG;974;TXF-JJG
LJG;KWL;618;LJG-KWL
TGG;MYY;754;TGG-MYY
DSA;GDN;791;DSA-GDN
NIQ;UMD;0;NIQ-UMD
RUH;WAE;324;RUH-WAE
LRR;KWI;403;LRR-KWI
OSL;ATH;1639;OSL-ATH
PGZ;PAV;1341;PGZ-PAV
LGW;LRH;346;LGW-LRH
HKG;HKT;1427;HKG-HKT
JKG;HAD;87;JKG-HAD
GKA;POM;262;GKA-POM
YAY;YYR;242;YAY-YYR
RRS;OSL;165;RRS-OSL
HND;UKB;280;HND-UKB
LAX;GIG;6294;LAX-GIG
KET;HEH;188;KET-HEH
TIA;ATH;323;TIA-ATH
MNL;SFO;6973;MNL-SFO
KIH;RAS;787;KIH-RAS
YUL;GRU;5043;YUL-GRU
HAM;VCE;571;HAM-VCE
TIJ;QRO;1313;TIJ-QRO
IAH;EWR;1400;IAH-EWR
VAR;GOJ;1142;VAR-GOJ
NTE;GVA;371;NTE-GVA
EDI;LYS;795;EDI-LYS
ASF;DYU;1186;ASF-DYU
ARH;DME;638;ARH-DME
GDN;DSA;791;GDN-DSA
UMD;NIQ;5265;UMD-NIQ
WAE;RUH;324;WAE-RUH
CLE;BOG;2572;CLE-BOG
BGO;MOL;183;BGO-MOL
KNH;MZG;100;KNH-MZG
LRH;LGW;346;LRH-LGW
HKT;HKG;1427;HKT-HKG
KHI;WNS;120;KHI-WNS
POM;GKA;262;POM-GKA
YYR;YAY;242;YYR-YAY
PMI;STR;707;PMI-STR
UKB;HND;280;UKB-HND
MUC;PRG;164;MUC-PRG
ATH;IOA;209;ATH-IOA
PVH;RIA;1594;PVH-RIA
SFO;MNL;6973;SFO-MNL
RAS;KIH;787;RAS-KIH
KWL;TYN;877;KWL-TYN
VCE;HAM;571;VCE-HAM
KBP;ODS;260;KBP-ODS
BBI;CCU;237;BBI-CCU
APN;MSP;471;APN-MSP
MEM;MKL;71;MEM-MKL
LYS;EDI;795;LYS-EDI
DYU;ASF;1186;DYU-ASF
DME;ARH;638;DME-ARH
MNL;OZC;477;MNL-OZC
RVY;STM;1977;RVY-STM
MEX;SXM;2355;MEX-SXM
FAE;HAU;463;FAE-HAU
MOL;BGO;183;MOL-BGO
MZG;KNH;100;MZG-KNH
AFL;MII;945;AFL-MII
INN;OSL;895;INN-OSL
WNS;KHI;120;WNS-KHI
BCN;KTW;1019;BCN-KTW
VRA;YXU;1378;VRA-YXU
STR;PMI;707;STR-PMI
DCA;SEA;2322;DCA-SEA
PRG;MUC;164;PRG-MUC
IOA;ATH;209;IOA-ATH
RIA;PVH;1594;RIA-PVH
LAX;MSN;1687;LAX-MSN
GRU;MCI;5324;GRU-MCI
TYN;KWL;877;TYN-KWL
JDO;MAO;1458;JDO-MAO
ODS;KBP;260;ODS-KBP
CCU;BBI;237;CCU-BBI
MSP;APN;471;MSP-APN
MKL;MEM;71;MKL-MEM
