IATA,Airport,Location
VSG,Luhansk International Airport,"Luhansk, Ukraine"
VST,Stockholm Västerås Airport,"Stockholm / Västerås, Sweden"
VTB,Vitebsk Vostochny Airport,"Vitebsk, Belarus"
VTE,Wattay International Airport,"Vientiane, Laos"
VTF,Vatulele Airport,"Vatulele, Fiji"
VTG,Vung Tau Airport,"Vung Tau (Vung Tàu), Vietnam"
VTL,Vittel - Champ-de-Courses Airport,"Vittel, Lorraine, France"
VTM,Nevatim Airbase,"Nevatim, Israel"
VTN,Miller Field,"Valentine, Nebraska, United States"
VTU,Hermanos Ameijeiras Airport,"Las Tunas, Cuba"
VTZ,Visakhapatnam Airport,"Visakhapatnam (Vishakhapatnam), Andhra Pradesh, India"
VUP,Alfonso López Pumarejo Airport,"Valledupar, Colombia"
VUS,Veliky Ustyug Airport,"Veliky Ustyug, Vologda Oblast, Russia"
VUU,Mvuu Camp Airport,"Liwonde, Malawi"
VVB,Mahanoro Airport,"Mahanoro, Madagascar"
VVC,La Vanguardia Airport,"Villavicencio, Colombia"
VVI,Viru Viru International Airport,"Santa Cruz de la Sierra, Bolivia"
VVK,Västervik Airport,"Västervik, Sweden"
VVN,Las Malvinas Airport,"Las Malvinas, Peru"
VVO,Vladivostok International Airport,"Vladivostok, Primorsky Krai, Russia"
VVZ,Takhamalt Airport,"Illizi, Algeria"
VXC,Lichinga Airport,"Lichinga, Mozambique"
VXE,Cesária Évora Airport (São Pedro Airport),"São Vicente, Cape Verde"
VXO,Växjö Småland Airport,"Växjö, Sweden"
VYD,Vryheid Airport,"Vryheid, South Africa"
VYI,Vilyuysk Airport,"Vilyuysk, Yakutia, Russia"
VYS,Illinois Valley Regional Airport (Walter A. Duncan Field),"Peru, Illinois, United States"
WAC,Wacca Airport,"Wacca, Ethiopia"
WAD,Andriamena Airport,"Andriamena, Madagascar"
WAE,Wadi al-Dawasir Domestic Airport,"Wadi ad-Dawasir (Wadi al-Dawaser), Saudi Arabia"
WAF,Wana Airport,"Wana, Pakistan"
WAG,Whanganui Airport,"Whanganui, New Zealand"
WAH,Harry Stern Airport (FAA: BWP),"Wahpeton, North Dakota, United States"
WAI,Ambalabe Airport,"Antsohihy, Madagascar"
WAJ,Wawoi Falls Airport,"Wawoi Falls, Papua New Guinea"
WAK,Ankazoabo Airport,"Ankazoabo, Madagascar"
WAL,Wallops Flight Facility,"Wallops Island, Virginia, United States"
WAM,Ambatondrazaka Airport,"Ambatondrazaka, Madagascar"
WAN,Waverney Airport,"Waverney, Queensland, Australia"
WAO,Wabo Airport,"Wabo, Papua New Guinea"
WAP,Alto Palena Airfield,"Palena, Chile"
WAQ,Antsalova Airport,"Antsalova, Madagascar"
WAR,Waris Airport,"Waris, Indonesia"
WAS[1],metropolitan area1,"Washington, D.C., United States"
WAT,Waterford Airport,"Waterford, Ireland"
WAU,Wauchope Airport,"Wauchope, New South Wales, Australia"
WAV,Wave Hill Airport,"Kalkarindji (Wave Hill), Northern Territory, Australia"
WAW,Warsaw Chopin Airport,"Warsaw, Poland"
WAX,Zuwarah Airport,"Zuwarah (Zuara), Libya"
WAY,Greene County Airport,"Waynesburg, Pennsylvania, United States"
WAZ,Warwick Airport,"Warwick, Queensland, Australia"
WBA,Wahai Airport,"Seram Island, Indonesia"
WBB,Stebbins Airport,"Stebbins, Alaska, United States"
WBC,Wapolu Airport,"Wapolu, Papua New Guinea"
WBD,Befandriana Airport,"Befandriana-Avaratra, Madagascar"
WBE,Ankaizina Airport,"Bealanana, Madagascar"
WBG,Schleswig Air Base,"Schleswig, Schleswig-Holstein, Germany"
WBK,West Branch Community Airport (FAA: Y31),"West Branch, Michigan, United States"
WBM,Wapenamanda Airport,"Wapenamanda, Papua New Guinea"
WBO,Antsoa Airport,"Beroroha, Madagascar"
WBQ,Beaver Airport,"Beaver, Alaska, United States"
WBR,Roben–Hood Airport (FAA: RQB),"Big Rapids, Michigan, United States"
WBU,Boulder Municipal Airport (FAA: BDU),"Boulder, Colorado, United States"
WBW,Wilkes-Barre Wyoming Valley Airport,"Wilkes-Barre, Pennsylvania, United States"
WCA,Gamboa Airport,"Castro, Chile"
WCH,Chaitén Airfield,"Chaitén, Chile"
WCR,Chandalar Lake Airport,"Chandalar Lake, Alaska, United States"
WDA,Wadi Ain Airport,"Wadi Ain, Yemen"
WDG,Enid Woodring Regional Airport,"Enid, Oklahoma, United States"
WDH,Hosea Kutako International Airport,"Windhoek, Namibia"
WDI,Wondai Airport,"Wondai, Queensland, Australia"
WDN,Waldronaire Airport (FAA: 90WA),"Waldron Island, Washington, United States"
WDR,Barrow County Airport,"Winder, Georgia, United States"
WDS,Shiyan Wudangshan Airport,"Shiyan, Hubei, China"
WEA,Parker County Airport,"Weatherford, Texas, United States"
WED,Wedau Airport,"Wedau, Papua New Guinea"
WEF,Weifang Airport,"Weifang, Shandong, China"
WEH,Weihai Dashuibo Airport,"Weihai, Shandong, China"
WEI,Weipa Airport,"Weipa, Queensland, Australia"
WEL,Welkom Airport,"Welkom, South Africa"
WEP,Weam Airport,"Weam, Papua New Guinea"
WET,Waghete Airport,"Waghete, Indonesia"
WEW,Wee Waa Airport,"Wee Waa, New South Wales, Australia"
WFB,Ketchikan Harbor Seaplane Base (FAA: 5KE),"Ketchikan, Alaska, United States"
WFD,Woodford Aerodrome,"Woodford, England, United Kingdom"
WFI,Fianarantsoa Airport,"Fianarantsoa, Madagascar"
WFK,Northern Aroostook Regional Airport (FAA: FVE),"Frenchville, Maine, United States"
WGA,Wagga Wagga Airport,"Wagga Wagga, New South Wales, Australia"
WGC,Warangal Airport,"Warangal, Telangana, India"
WGE,Walgett Airport,"Walgett, New South Wales, Australia"
WGN,Shaoyang Wugang Airport,"Shaoyang, Hunan, China"
WGO,Winchester Regional Airport (FAA: OKV),"Winchester, Virginia, United States"
WGP,Mau Hau Airport (Umbu Mehang Kunda Airport),"Waingapu, Indonesia"
WGT,Wangaratta Airport,"Wangaratta, Victoria, Australia"
WGU,Wagau Airport,"Wagau, Papua New Guinea"
WGY,Wagny Airport,"Wagny, Gabon"
WHD,Hyder Seaplane Base (FAA: 4Z7),"Hyder, Alaska, United States"
WHF,Wadi Halfa Airport,"Wadi Halfa, Sudan"
WHK,Whakatane Airport,"Whakatane, New Zealand"
WHL,Welshpool Airport,"Welshpool, Victoria, Australia"
WHO,Franz Josef Glacier Aerodrome,"Franz Josef Glacier, New Zealand"
WHP,Whiteman Airport,"Los Angeles, California, United States"
WHS,Whalsay Airstrip,"Whalsay, Scotland, United Kingdom"
WHT,Wharton Regional Airport (FAA: ARM),"Wharton, Texas, United States"
WHU,Wuhu Airport,"Wuhu, Anhui, China"
WIB,Wilbarger County Airport (FAA: F05),"Vernon, Texas, United States"
WIC,Wick Airport,"Wick, Scotland, United Kingdom"
WIE,Wiesbaden Army Airfield,"Wiesbaden, Hesse, Germany"
WIK,Waiheke Island Aerodrome,"Waiheke Island, New Zealand"
WIL,Wilson Airport,"Nairobi, Kenya"
WIN,Winton Airport,"Winton, Queensland, Australia"
WIO,Wilcannia Airport,"Wilcannia, New South Wales, Australia"
WIR,Wairoa Aerodrome,"Wairoa, New Zealand"
WIT,Wittenoom Airport,"Wittenoom, Western Australia, Australia"
WIU,Witu Airport,"Witu, Papua New Guinea"
WJA,Woja Airport,"Woja, Ailinglaplap Atoll, Marshall Islands"
WJF,General William J. Fox Airfield,"Lancaster, California, United States"
WJR,Wajir Airport,"Wajir, Kenya"
WJU,Wonju Airport,"Wonju, South Korea"
WKA,Wanaka Airport,"Wanaka, New Zealand"
WKB,Warracknabeal Airport,"Warracknabeal, Victoria, Australia"
WKF,Air Force Base Waterkloof,"Pretoria, South Africa"
WKI,Hwange Town Airport,"Hwange, Zimbabwe"
WKJ,Wakkanai Airport,"Wakkanai, Hokkaido, Japan"
WKK,Aleknagik Airport (FAA: 5A8),"Aleknagik, Alaska, United States"
WKL,Waikoloa Heliport (FAA: HI07),"Waikoloa Village, Hawaii, United States"
WKN,Wakunai Airport,"Wakunai, Papua New Guinea"
WKR,Walker's Cay Airport,"Walker's Cay, Abaco Islands, Bahamas"
WLA,Wallal Airport,"Wallal (Wallal Downs), Western Australia, Australia"
WLC,Walcha Airport,"Walcha, New South Wales, Australia"
WLD,Strother Field,"Winfield / Arkansas City, Kansas, United States"
WLE,Miles Airport,"Miles, Queensland, Australia"
WLG,Wellington International Airport,"Wellington, New Zealand"
WLH,Walaha Airport,"Walaha, Vanuatu"
WLK,Selawik Airport,"Selawik, Alaska, United States"
WLL,Wollogorang Airport,"Wollogorang Station, Northern Territory, Australia"
WLO,Waterloo Airport,"Waterloo, Northern Territory, Australia"
WLP,West Angelas Airport,"West Angelas, Western Australia, Australia"
WLR,Loring Seaplane Base (FAA: 13Z),"Loring, Alaska, United States"
WLS,Hihifo Airport,"Wallis Island, Wallis and Futuna"
WLW,Willows-Glenn County Airport,"Willows, California, United States"
WMA,Mandritsara Airport,"Mandritsara, Madagascar"
WMB,Warrnambool Airport,"Warrnambool, Victoria, Australia"
WMC,Winnemucca Municipal Airport,"Winnemucca, Nevada, United States"
WMD,Mandabe Airport,"Mandabe, Madagascar"
WME,Mount Keith Airport,"Mount Keith, Western Australia, Australia"
WMH,Ozark Regional Airport (FAA: BPK),"Mountain Home, Arkansas, United States"
WMI,Warsaw Modlin Airport,"Warsaw, Poland"
WMK,Meyers Chuck Seaplane Base (FAA: 84K),"Meyers Chuck, Alaska, United States"
WML,Malaimbandy Airport,"Malaimbandy, Madagascar"
WMN,Maroantsetra Airport,"Maroantsetra, Madagascar"
WMO,White Mountain Airport,"White Mountain, Alaska, United States"
WMP,Mampikony Airport,"Mampikony, Madagascar"
WMR,Mananara Nord Airport,"Mananara Nord (Mananara Avaratra), Madagascar"
WMV,Madirovalo Airport,"Madirovalo, Madagascar"
WMX,Wamena Airport,"Wamena, Indonesia"
WNA,Napakiak Airport,"Napakiak, Alaska, United States"
WND,Windarra Airport,"Windarra, Western Australia, Australia"
WNE,Wora na Yeno Airport,"Wora na Yeno, Gabon"
WNH,Wenshan Puzhehei Airport,"Wenshan, Yunnan, China"
WNN,Wunnummin Lake Airport (TC: CKL3),"Wunnumin Lake, Ontario, Canada"
WNP,Naga Airport,"Naga, Philippines"
WNR,Windorah Airport,"Windorah, Queensland, Australia"
WNS,Nawabshah Airport,"Nawabshah (Shaheed Benazirabad), Pakistan"
WNU,Wanuma Airport,"Wanuma, Papua New Guinea"
WNZ,Wenzhou Longwan International Airport,"Wenzhou, Zhejiang, China"
WOA,Wonenara Airport,"Wonenara, Papua New Guinea"
WOE,Woensdrecht Air Base,"Bergen op Zoom, Netherlands"
WOK,Uonquén Airport,"Uonquén, Venezuela"
WOL,Illawarra Regional Airport,"Wollongong, New South Wales, Australia"
WON,Wondoola Airport,"Wondoola, Queensland, Australia"
WOR,Moramba Airport,"Ankorefo, Madagascar"
WOS,Wonsan Kalma International Airport,"Wonsan, North Korea"
WOT,Wang-an Airport,"Wang'an, Taiwan"
WOW,Willow Airport (FAA: UUO),"Willow, Alaska, United States"
WPA,Cabo Juan Román Airfield,"Puerto Aisén, Chile"
WPB,Port Bergé Airport,"Boriziny (Port Bergé), Madagascar"
WPC,Pincher Creek Airport,"Pincher Creek, Alberta, Canada"
WPK,Wrotham Park Airport,"Wrotham Park, Queensland, Australia"
WPL,Powell Lake Water Aerodrome (TC: CAQ8),"Powell River, British Columbia, Canada"
WPM,Wipim Airport,"Wipim, Papua New Guinea"
WPO,North Fork Valley Airport (FAA: 7V2),"Paonia, Colorado, United States"
WPR,Capitán Fuentes Martínez Airport,"Porvenir, Chile"
WPU,Guardiamarina Zañartu Airport,"Puerto Williams, Chile"
WRA,Warder Airport,"Werder (Warder), Ethiopia"
WRB,Robins Air Force Base,"Warner Robins, Georgia, United States"
WRE,Whangarei Airport,"Whangarei, New Zealand"
WRG,Wrangell Airport,"Wrangell, Alaska, United States"
WRI,McGuire Air Force Base,"Wrightstown, New Jersey, United States"
WRL,Worland Municipal Airport,"Worland, Wyoming, United States"
WRN,Windarling Airport,"Windarling, Western Australia, Australia"
WRO,Copernicus Airport Wroclaw,"Wroclaw, Poland"
WRT,Warton Aerodrome,"Warton, England, United Kingdom"
WRW,Warrawagine Airport,"Warrawagine Station, Western Australia, Australia"
WRY,Westray Airport,"Westray, Scotland, United Kingdom"
WRZ,Weerawila Airport,"Weerawila, Sri Lanka"
WSA,Wasua Airport,"Wasua, Papua New Guinea"
WSB,Steamboat Bay Seaplane Base,"Steamboat Bay, Alaska, United States"
WSD,Condron Army Airfield,"White Sands, New Mexico, United States"
WSF,Cape Sarichef Airport (FAA: 26AK),"Cape Sarichef, Alaska, United States"
WSG,Washington County Airport (FAA: AFJ),"Washington, Pennsylvania, United States"
WSH,Brookhaven Airport (FAA: HWV),"Shirley, New York, United States"
WSM,Wiseman Airport,"Wiseman, Alaska, United States"
WSN,South Naknek Airport,"South Naknek, Alaska, United States"
WSO,Washabo Airport,"Washabo (Wasjabo), Suriname"
WSP,Waspam Airport,"Waspam, Nicaragua"
WSR,Wasior Airport,"Wasior, Indonesia"
WST,Westerly State Airport,"Westerly, Rhode Island, United States"
WSU,Wasu Airport,"Wasu, Papua New Guinea"
WSX,Westsound Seaplane Base (FAA: WA83),"West Sound, Washington, United States"
WSY,Whitsunday Airport,"Airlie Beach / Shute Harbour, Queensland, Australia"
WSZ,Westport Airport,"Westport, New Zealand"
WTA,Tambohorano Airport,"Tambohorano, Madagascar"
WTB,Toowoomba Wellcamp Airport,"Toowoomba, Queensland, Australia"
WTD,West End Airport,"West End, Grand Bahama, Bahamas"
WTE,Wotje Airport (FAA: N36),"Wotje Atoll, Marshall Islands"
WTK,Noatak Airport,"Noatak, Alaska, United States"
WTL,Tuntutuliak Airport (FAA: A61),"Tuntutuliak, Alaska, United States"
WTN,RAF Waddington,"Waddington, England, United Kingdom"
WTO,Wotho Airport,"Wotho Atoll, Marshall Islands"
WTP,Woitape Airport,"Woitape, Papua New Guinea"
WTR,Whiteriver Airport (FAA: E24),"Whiteriver, Arizona, United States"
WTS,Tsiroanomandidy Airport,"Tsiroanomandidy, Madagascar"
WTT,Wantoat Airport,"Wantoat, Papua New Guinea"
WTZ,Whitianga Aerodrome,"Whitianga, New Zealand"
WUA,Wuhai Airport,"Wuhai, Inner Mongolia, China"
WUD,Wudinna Airport,"Wudinna, South Australia, Australia"
WUG,Wau Airport,"Wau, Papua New Guinea"
WUH,Wuhan Tianhe International Airport,"Wuhan, Hubei, China"
WUI,Murrin Murrin Airport,"Murrin Murrin, Western Australia, Australia"
WUM,Wasum Airport,"Wasum, Papua New Guinea"
WUN,Wiluna Airport,"Wiluna, Western Australia, Australia"
WUS,Wuyishan Airport,"Wuyishan, Fujian, China"
WUT,Xinzhou Wutaishan Airport,"Xinzhou, Shanxi, China"
WUU,Wau Airport,"Wau, South Sudan"
WUV,Wuvulu Island Airport,"Wuvulu Island, Papua New Guinea"
WUX,Sunan Shuofang International Airport,"Wuxi / Suzhou, Jiangsu, China"
WUZ,Wuzhou Xijiang Airport,"Wuzhou, Guangxi, China"
WVB,Walvis Bay Airport,"Walvis Bay, Namibia"
WVI,Watsonville Municipal Airport,"Watsonville, California, United States"
WVK,Manakara Airport,"Manakara, Madagascar"
WVL,Waterville Robert LaFleur Airport,"Waterville, Maine, United States"
WVN,JadeWeserAirport,"Wilhelmshaven, Lower Saxony, Germany"
WWA,Wasilla Airport (FAA: IYS),"Wasilla, Alaska, United States"
WWD,Cape May Airport,"Wildwood, New Jersey, United States"
WWI,Woodie Woodie Airport,"Woodie Woodie, Western Australia, Australia"
WWK,Wewak Airport,"Wewak, Papua New Guinea"
WWP,North Whale Seaplane Base (FAA: 96Z),"Whale Pass, Alaska, United States"
WWR,West Woodward Airport,"Woodward, Oklahoma, United States"
WWT,Newtok Airport (FAA: EWU),"Newtok, Alaska, United States"
WWY,West Wyalong Airport,"West Wyalong, New South Wales, Australia"
WXN,Wanzhou Wuqiao Airport,"Wanzhou, Chongqing, China"
WYA,Whyalla Airport,"Whyalla, South Australia, Australia"
WYB,Yes Bay Lodge Seaplane Base (FAA: 78K),"Yes Bay, Alaska, United States"
WYE,Yengema Airport,"Yengema, Sierra Leone"
WYN,Wyndham Airport,"Wyndham, Western Australia, Australia"
WYS,Yellowstone Airport,"West Yellowstone, Montana, United States"
WZQ,Urad Middle Banner Airport,"Urad Middle Banner, Inner Mongolia, China"
XAL,Álamos Airport,"Álamos, Sonora, Mexico"
XAP,Serafin Enoss Bertaso Airport,"Chapecó, Santa Catarina, Brazil"
XAR,Aribinda Airport,"Aribinda, Burkina Faso"
XAU,Saül Airport,"Saül, French Guiana"
XBB,Blubber Bay Seaplane Base,"Blubber Bay, British Columbia, Canada"
XBE,Bearskin Lake Airport (TC: CNE3),"Bearskin Lake, Ontario, Canada"
XBG,Bogande Airport,"Bogandé, Burkina Faso"
XBJ,Birjand International Airport,"Birjand, Iran"
XBL,Bedele Airport (Buno Bedele Airport),"Bedele, Ethiopia"
XBN,Biniguni Airport,"Biniguni, Papua New Guinea"
XBO,Boulsa Airport,"Boulsa, Burkina Faso"
XBR,Brockville Regional Tackaberry Airport (TC: CNL3),"Brockville, Ontario, Canada"
XCH,Christmas Island Airport,"Christmas Island, Australia"
XCL,Cluff Lake Airport (TC: CJS3),"Cluff Lake, Saskatchewan, Canada"
XCM,Chatham-Kent Airport,"Chatham-Kent, Ontario, Canada"
XCN,Coron Airport,"Coron, Philippines"
XCO,Colac Airport,"Colac, Victoria, Australia"
XCR,Châlons Vatry Airport,"Châlons-en-Champagne, Champagne-Ardenne, France"
XDE,Diébougou Airport,"Diébougou, Burkina Faso"
XDJ,Djibo Airport,"Djibo, Burkina Faso"
XEN,Xingcheng Airport,"Xingcheng, Liaoning, China"
XES,Grand Geneva Resort Airport (FAA: C02),"Lake Geneva, Wisconsin, United States"
XFN,Xiangyang Liuji Airport,"Xiangyang, Hubei, China"
XFW,Hamburg Finkenwerder Airport,"Hamburg, Germany"
XGA,Gaoua Airport (Amilcar Cabral Airport),"Gaoua, Burkina Faso"
XGG,Gorom Gorom Airport,"Gorom-Gorom, Burkina Faso"
XGL,Granville Lake Airport,"Granville Lake, Manitoba, Canada"
XGN,Xangongo Airport,"Xangongo, Angola"
XGR,Kangiqsualujjuaq (Georges River) Airport,"Kangiqsualujjuaq, Quebec, Canada"
XIC,Xichang Qingshan Airport,"Xichang, Sichuan, China"
XIE,Xienglom Airport,"Xienglom, Laos"
XIG,Xinguara Municipal Airport,"Xinguara, Pará, Brazil"
XIJ,Ahmad al-Jaber Air Base,"Al Ahmadi, Kuwait"
XIL,Xilinhot Airport,"Xilinhot, Inner Mongolia, China"
XIN,Xingning Air Base,"Xingning, Guangdong, China"
XIY,Xi'an Xianyang International Airport,"Xi'an, Shaanxi, China"
XJD,Al Udeid Air Base,"Al Rayyan, Qatar"
XJM,Mangla Airport,"Mangla, Pakistan"
XKA,Kantchari Airport,"Kantchari, Burkina Faso"
XKH,Xieng Khouang Airport,"Phonsavan, Laos"
XKS,Kasabonika Airport,"Kasabonika, Ontario, Canada"
XKY,Kaya Airport,"Kaya, Burkina Faso"
XLB,Lac Brochet Airport,"Lac Brochet, Manitoba, Canada"
XLO,Long Xuyen Airport,"Long Xuyên, Vietnam"
XLS,Saint-Louis Airport,"Saint-Louis, Senegal"
XLU,Leo Airport,"Léo, Burkina Faso"
XLW,Lemwerder Airport,"Lemwerder, Lower Saxony, Germany"
XMA,Maramag Airport,"Maramag, Philippines"
XMC,Mallacoota Airport,"Mallacoota, Victoria, Australia"
XMD,Madison Municipal Airport (FAA: MDS),"Madison, South Dakota, United States"
XMG,Mahendranagar Airport,"Bhimdatta (Mahendranagar), Nepal"
XMH,Manihi Airport,"Manihi, Tuamotus, French Polynesia"
XMI,Masasi Airport,"Masasi, Tanzania"
XML,Minlaton Airport,"Minlaton, South Australia, Australia"
XMN,Xiamen Gaoqi International Airport,"Xiamen, Fujian, China"
XMP,Macmillan Pass Airport (TC: CFC4),"Macmillan Pass, Yukon, Canada"
XMS,Edmundo Carvajal Airport,"Macas, Ecuador"
XMY,Yam Island Airport,"Yam Island, Queensland, Australia"
XNA,Northwest Arkansas Regional Airport,"Fayetteville / Springdale, Arkansas, United States"
XNG,Quang Ngai Airport,"Quang Ngai (Qu<U+1EA3>ng Ngãi), Vietnam"
XNN,Xining Caojiabao Airport,"Xining, Qinghai, China"
XNT,Xingtai Dalian Airport,"Xingtai, Hebei, China"
XNU,Nouna Airport,"Nouna, Burkina Faso"
XPA,Pama Airport,"Pama, Burkina Faso"
XPK,Pukatawagan Airport,"Pukatawagan, Manitoba, Canada"
XPL,Soto Cano Air Base,"Comayagua, Honduras"
XPP,Poplar River Airport,"Poplar River, Manitoba, Canada"
XPR,Pine Ridge Airport (FAA: IEN),"Pine Ridge, South Dakota, United States"
XQP,Quepos La Managua Airport,"Quepos, Costa Rica"
XQU,Qualicum Beach Airport (TC: CAT4),"Qualicum Beach, British Columbia, Canada"
XRH,RAAF Base Richmond,"Richmond, New South Wales, Australia"
XRR,Ross River Airport,"Ross River, Yukon, Canada"
XRY,Jerez Airport (La Parra Airport),"Jerez de la Frontera, Andalusia, Spain"
XSB,Sir Bani Yas Airport,"Sir Bani Yas, United Arab Emirates"
XSC,South Caicos Airport,"South Caicos, British Overseas Territory of Turks and Caicos Islands"
XSD,Tonopah Test Range Airport (FAA: TNX),"Tonopah, Nevada, United States"
XSE,Sebba Airport,"Sebba, Burkina Faso"
XSI,South Indian Lake Airport,"South Indian Lake, Manitoba, Canada"
XSO,Siocon Airport,"Siocon, Philippines"
XSP,Seletar Airport,Singapore
XTG,Thargomindah Airport,"Thargomindah, Queensland, Australia"
XTL,Tadoule Lake Airport,"Tadoule Lake, Manitoba, Canada"
XTO,Taroom Airport,"Taroom, Queensland, Australia"
XTR,Tara Airport,"Tara, Queensland, Australia"
XUZ,Xuzhou Guanyin Airport,"Xuzhou, Jiangsu, China"
XVL,Vinh Long Airport,"Vinh Long (Vinh Long), Vietnam"
XYA,Yandina Airport,"Yandina, Solomon Islands"
XYE,Ye Airport,"Ye, Myanmar"
XYR,Edwaki Airport,"Yellow River, Papua New Guinea"
XZA,Zabré Airport,"Zabré, Burkina Faso"
YAA,Anahim Lake Airport (TC: CAJ4),"Anahim Lake, British Columbia, Canada"
YAB,Arctic Bay Airport (TC: CJX7),"Arctic Bay, Nunavut, Canada"
YAC,Cat Lake Airport,"Cat Lake, Ontario, Canada"
YAD,Moose Lake Airport (TC: CJB4),"Moose Lake, Manitoba, Canada"
YAG,Fort Frances Municipal Airport,"Fort Frances, Ontario, Canada"
YAH,La Grande-4 Airport,"La Grande-4, Quebec, Canada"
YAI,General Bernardo O'Higgins Airport,"Chillán, Chile"
YAJ,Lyall Harbour Seaplane Base,"Saturna Island, British Columbia, Canada"
YAK,Yakutat Airport,"Yakutat, Alaska, United States"
YAL,Alert Bay Airport,"Alert Bay, British Columbia, Canada"
YAM,Sault Ste. Marie Airport,"Sault Ste. Marie, Ontario, Canada"
YAN,Yangambi Airport,"Yangambi, Democratic Republic of the Congo"
YAO,Yaoundé Airport,"Yaoundé, Cameroon"
YAP,Yap International Airport (FAA: T11),"Yap, Federated States of Micronesia"
YAQ,Maple Bay Seaplane Base,"Maple Bay, British Columbia, Canada"
YAR,La Grande-3 Airport,"La Grande-3, Quebec, Canada"
YAS,Yasawa Island Airport,"Yasawa, Fiji"
YAT,Attawapiskat Airport,"Attawapiskat, Ontario, Canada"
YAU,Kattiniq/Donaldson Airport (TC: CTP9),"Raglan Mine, Quebec, Canada"
YAV,Mayne Island Water Aerodrome (Miner's Bay Seaplane Base) (TC: CAW7),"Mayne Island, British Columbia, Canada"
YAX,Angling Lake/Wapekeka Airport (TC: CKB6),"Wapekeka, Ontario, Canada"
YAY,St. Anthony Airport,"St. Anthony, Newfoundland and Labrador, Canada"
YAZ,Tofino/Long Beach Airport,"Tofino, British Columbia, Canada"
YBA,Banff Airport,"Banff, Alberta, Canada"
YBB,Kugaaruk Airport,"Kugaaruk, Nunavut, Canada"
YBC,Baie-Comeau Airport,"Baie-Comeau, Quebec, Canada"
YBE,Uranium City Airport,"Uranium City, Saskatchewan, Canada"
YBF,Bamfield Water Aerodrome (TC: CAE9),"Bamfield, British Columbia, Canada"
YBG,Canadian Forces Base Bagotville,"La Baie (Bagotville), Quebec, Canada"
YBH,Bull Harbour Waterdrome,"Bull Harbour, British Columbia, Canada"
YBI,Black Tickle Airport (TC: CCE4),"Black Tickle, Newfoundland and Labrador, Canada"
YBJ,Baie-Johan-Beetz Seaplane Base,"Baie-Johan-Beetz, Quebec, Canada"
YBK,Baker Lake Airport,"Baker Lake, Nunavut, Canada"
YBL,Campbell River Airport,"Campbell River, British Columbia, Canada"
YBO,Bob Quinn Lake Airport (TC: CBW4),"Bob Quinn Lake, British Columbia, Canada"
YBP,Yibin Caiba Airport,"Yibin, Sichuan, China"
YBQ,Telegraph Harbour Seaplane Base,"Thetis Island, British Columbia, Canada"
YBR,Brandon Municipal Airport (McGill Field),"Brandon, Manitoba, Canada"
YBS,Opapimiskan Lake Airport (TC: CKM8),"Opapimiskan Lake, Ontario, Canada"
YBT,Brochet Airport,"Brochet, Manitoba, Canada"
YBV,Berens River Airport,"Berens River, Manitoba, Canada"
YBW,Bedwell Harbour Water Aerodrome (TC: CAB3),"Bedwell Harbour, British Columbia, Canada"
YBX,Lourdes-de-Blanc-Sablon Airport,"Blanc-Sablon, Quebec, Canada"
YBY,Bonnyville Airport,"Bonnyville, Alberta, Canada"
YCA,Courtenay Airpark (TC: CAH3),"Courtenay, British Columbia, Canada"
YCB,Cambridge Bay Airport,"Cambridge Bay, Nunavut, Canada"
YCC,Cornwall Regional Airport,"Cornwall, Ontario, Canada"
YCD,Nanaimo Airport,"Nanaimo, British Columbia, Canada"
YCE,Centralia/James T. Field Memorial Aerodrome,"Centralia, Ontario, Canada"
YCF,Cortes Island Aerodrome (TC: CCI9),"Cortes Island, British Columbia, Canada"
YCG,West Kootenay Regional Airport (Castlegar Airport),"Castlegar, British Columbia, Canada"
YCH,Miramichi Airport,"Miramichi, New Brunswick, Canada"
YCK,Colville Lake/Tommy Kochon Aerodrome,"Colville Lake, Northwest Territories, Canada"
YCL,Charlo Airport,"Charlo, New Brunswick, Canada"
YCM,St. Catharines/Niagara District Airport,"St. Catharines, Ontario, Canada"
YCN,Cochrane Aerodrome,"Cochrane, Ontario, Canada"
YCO,Kugluktuk Airport,"Kugluktuk, Nunavut, Canada"
YCQ,Chetwynd Airport,"Chetwynd, British Columbia, Canada"
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,"Cross Lake, Manitoba, Canada"
YCS,Chesterfield Inlet Airport,"Chesterfield Inlet, Nunavut, Canada"
YCT,Coronation Airport,"Coronation, Alberta, Canada"
YCU,Yuncheng Guangong Airport,"Yuncheng, Shanxi, China"
YCW,Chilliwack Airport,"Chilliwack, British Columbia, Canada"
YCY,Clyde River Airport,"Clyde River, Nunavut, Canada"
YCZ,Fairmont Hot Springs Airport,"Fairmont Hot Springs, British Columbia, Canada"
YDA,Dawson City Airport,"Dawson City, Yukon, Canada"
YDB,Burwash Airport,"Burwash Landing, Yukon, Canada"
YDC,Drayton Valley Industrial Airport (TC: CER3),"Drayton Valley, Alberta, Canada"
YDE,Paradise River Airport (TC: CDF4),"Paradise River, Newfoundland and Labrador, Canada"
YDF,Deer Lake Regional Airport,"Deer Lake, Newfoundland and Labrador, Canada"
YDG,Digby/Annapolis Regional Airport,"Digby, Nova Scotia, Canada"
YDJ,Hatchet Lake Airport (TC: CJL2),"Hatchet Lake, Saskatchewan, Canada"
YDL,Dease Lake Airport,"Dease Lake, British Columbia, Canada"
